id,spkid,full_name,pdes,name,prefix,neo,pha,H,diameter,albedo,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,rms
a0000042,2000042,    42 Isis,42,Isis,,N,N,7.5,110.997,0.139,1.378,JPL 103,2459000.5,59000,20200531,J2000,0.223046779,2.442059509,1.897366001,8.514364926,84.19775734,237.2569036,306.8146322,2.986753018,0.258267471,2459206.431,20201222.93,1393.903765,3.81630052,0.900072,350.2810202,2.97E-08,3.24E-09,7.26E-08,3.37E-06,2.17E-05,2.30E-05,9.50E-06,3.96E-09,5.14E-10,3.70E-05,2.78E-06,MBA,0.54581
a0000043,2000043,    43 Ariadne,43,Ariadne,,N,N,7.9,71.34,0.234,1.254,JPL 114,2459000.5,59000,20200531,J2000,0.168434577,2.203158413,1.832070357,3.471363185,264.8093082,16.34933292,258.3900063,2.57424647,0.301394613,2459337.633,20210503.13,1194.44736,3.270218643,0.815921,317.5319756,3.45E-08,3.31E-09,7.61E-08,3.99E-06,6.41E-05,6.52E-05,1.34E-05,3.87E-09,6.80E-10,4.49E-05,2.69E-06,MBA,0.53063
a0000044,2000044,    44 Nysa,44,Nysa,,N,N,6.9,70.64,0.482,4,JPL 117,2459000.5,59000,20200531,J2000,0.14799278,2.424859145,2.0659975,3.710079489,131.494749,343.8645059,186.5544324,2.78372079,0.261020309,2459664.991,20220326.49,1379.203027,3.776052093,1.08264,421.3310088,3.32E-08,3.82E-09,8.02E-08,3.67E-06,5.20E-05,5.33E-05,1.20E-05,4.39E-09,6.17E-10,4.65E-05,3.26E-06,MBA,0.56302
a0000045,2000045,    45 Eugenia,45,Eugenia,,N,N,7.5,202.327,0.045,2.168,JPL 107,2459000.5,59000,20200531,J2000,0.084164523,2.719269795,2.490403749,6.605580976,147.6001805,87.79616669,126.6509968,2.948135841,0.219798956,2458424.287,20181101.79,1637.86037,4.484217305,1.49003,579.8749751,3.21E-08,5.71E-09,8.83E-08,3.39E-06,3.12E-05,3.74E-05,2.06E-05,6.19E-09,6.92E-10,9.36E-05,5.16E-06,MBA,0.4876
a0000046,2000046,    46 Hestia,46,Hestia,,N,N,8.5,131.471,0.046,0.737,JPL 157,2459000.5,59000,20200531,J2000,0.172301751,2.525194782,2.090099299,2.350036609,181.0771721,177.383031,168.1565817,2.960290266,0.245618881,2458315.876,20180716.38,1465.685366,4.012827834,1.08634,422.7709378,2.89E-08,3.85E-09,7.26E-08,3.01E-06,8.10E-05,8.17E-05,1.19E-05,4.52E-09,5.62E-10,4.79E-05,3.35E-06,MBA,0.49585
a0000047,2000047,    47 Aglaja,47,Aglaja,,N,N,8.1,168.174,0.082,1.222,JPL 115,2459000.5,59000,20200531,J2000,0.129947004,2.88227373,2.507730894,4.974553597,3.066450851,314.8373121,132.705722,3.256816565,0.201419373,2458341.647,20180811.15,1787.315666,4.893403602,1.49781,582.9027177,3.00E-08,7.06E-09,8.67E-08,3.84E-06,3.98E-05,4.28E-05,1.65E-05,7.98E-09,7.40E-10,8.14E-05,6.57E-06,MBA,0.4514
a0000048,2000048,    48 Doris,48,Doris,,N,N,7.1,216.473,0.065,4.757,JPL 171,2459000.5,59000,20200531,J2000,0.072263574,3.109514977,2.884810311,6.547932948,183.5526368,252.8414897,141.5085436,3.334219643,0.179748425,2458213.241,20180404.74,2002.799186,5.483365328,1.90855,742.7504035,2.81E-08,7.29E-09,8.68E-08,3.05E-06,2.84E-05,3.66E-05,2.32E-05,7.81E-09,6.32E-10,0.00012887,7.04E-06,MBA,0.51614
a0000049,2000049,    49 Pales,49,Pales,,N,N,7.8,166.252,0.048,2.166,JPL 82,2459000.5,59000,20200531,J2000,0.221379014,3.097694335,2.411929818,3.201813251,285.0550532,112.9573006,312.0438784,3.783458853,0.180778272,2459265.776,20210220.28,1991.389758,5.452128017,1.4218,553.321906,3.54E-08,7.66E-09,1.07E-07,3.78E-06,7.08E-05,7.14E-05,9.53E-06,9.36E-09,6.71E-10,5.31E-05,7.39E-06,MBA,0.52237
a0000050,2000050,    50 Virginia,50,Virginia,,N,N,9.2,84.074,0.05,0.242,JPL 110,2459000.5,59000,20200531,J2000,0.285862092,2.649431522,1.892059484,2.837908581,173.5208681,200.0119462,250.0164934,3.406803559,0.228546737,2459481.73,20210924.23,1575.170158,4.312580858,0.89299,347.5249183,2.87E-08,4.00E-09,7.60E-08,3.40E-06,6.77E-05,6.79E-05,7.29E-06,5.14E-09,5.17E-10,3.27E-05,3.56E-06,MBA,0.47412
a0000051,2000051,    51 Nemausa,51,Nemausa,,N,N,7.6,138.159,0.105,0.966,JPL 119,2459000.5,59000,20200531,J2000,0.067771081,2.364959451,2.204683594,9.978931794,175.9651765,2.252285928,204.7830982,2.525235309,0.270999522,2459573.257,20211224.76,1328.415625,3.637003765,1.20845,470.2924865,1.86E-08,2.43E-09,4.43E-08,2.06E-06,1.59E-05,2.71E-05,2.18E-05,2.60E-09,4.18E-10,8.06E-05,2.05E-06,MBA,0.46794
